feedback_id,feedback,sentiment,category,location
R00958,campus infrastructures improving,positive,Infrastructure,Central Lab
R01259,office staff were helpful in ECE Lab,positive,Administration,Central Lab
R00678,lab instruments are available asap in Library,positive,Laboratory,Hostel A
R00229,food is often cold in Library,negative,Food,Canteen
R00164,lunch was fresh and good bro in Hostel A,positive,Food,Main Gate
R01103,washrooms are maintained well bro in Hostel A,positive,Cleanliness,Hostel A
R01608,event arrangements were poor in ECE Lab,negative,Events,Library
R00963,classrooms are comfortable in ECE Lab,positive,Infrastructure,B Block
R00106,internet gets stuck whenever I try to upload in Campus,negative,Wi-Fi,Campus
R00112,networks terrible after evening in Campus,negative,Wi-Fi,A Block
R01207,washrooms are dirty pls fix,negative,Cleanliness,B Block
R01553,the workshop was average in A Block,neutral,Events,Main Gate
R00128,wifi signals weak in my block,negative,Wi-Fi,Library
R00012,campus internet is fast bro,positive,Wi-Fi,Hostel A
R00465,the shuttle usually arrives on time asap,neutral,Transport,Main Gate
R00461,bus timing is okay in ECE Lab,neutral,Transport,Main Gate
R01146,campus is reasonably clean asap,neutral,Cleanliness,Campus
R00096,internet is painfully slow,negative,Wi-Fi,Campus
R01098,campus is clean bro in B Block,positive,Cleanliness,Library
R00680,practical sessions are useful bro in Campus,positive,Laboratory,Campus
R00649,course material is outdated asap,negative,Academics,ECE Lab
R00987,campus infrastructure is improving asap in Campus,positive,Infrastructure,Hostel A
R00283,hostel facilities are comfortable bro,positive,Hostel,Canteen
R00944,library has too few seats in Campus,negative,Library,Campus
R00058,wifi works most of the time in Hostel A,neutral,Wi-Fi,A Block
R00555,the course material is helpful bro in Main Gate,positive,Academics,Hostel A
R00844,library is quiet and clean pls fix in A Block,positive,Library,Main Gate
R01617,there was not enough seating at the event,negative,Events,Central Lab
R00457,shuttle usually arrives on time,neutral,Transport,Library
R00321,maintenance is manageable in C Block,neutral,Hostel,B Block
R00771,there are not enough instruments in Hostel A,negative,Laboratory,Hostel B
R00220,mess food is okay asap,neutral,Food,Hostel B
R01417,security is okay bro in Canteen,neutral,Safety,Hostel B
R01440,campus safety is average in B Block,neutral,Safety,A Block
R00611,course content is normal bro,neutral,Academics,B Block
R01267,the office response was average,neutral,Administration,Central Lab
R00378,hostel rooms not cleaned properly,negative,Hostel,Hostel B
R00210,the menu is manageable in A Block,neutral,Food,Hostel B
R01184,corridors are not cleaned regularly,negative,Cleanliness,Main Gate
R00735,facilities are average asap,neutral,Laboratory,C Block
R00604,the lecture was manageable asap in Campus,neutral,Academics,Canteen
R00516,bus is always overcrowded bro,negative,Transport,C Block
R00375,hostel room is not cleaned properly,negative,Hostel,B Block
R00837,library is quiet and clean pls fix in ECE Lab,positive,Library,Main Gate
R00051,internets available but average in ECE Lab,neutral,Wi-Fi,Hostel A
R01373,security staff are helpful bro,positive,Safety,Canteen
R00936,library has too few seats pls fix,negative,Library,Main Gate
R01086,cleaning staff are doing a good job pls fix,positive,Cleanliness,B Block
R00653,faculty is not explaining the topic clearly asap,negative,Academics,ECE Lab
R00644,facultys not explaining the topic clearly,negative,Academics,ECE Lab
R00733,lab facilities are okay,neutral,Laboratory,Hostel B
R01040,there are damaged desks asap,negative,Infrastructure,A Block
R01273,office response was average in Central Lab,neutral,Administration,B Block
R00466,transport is average asap,neutral,Transport,Main Gate
R00738,lab facilities are okay in Library,neutral,Laboratory,B Block
R01155,campuss reasonably clean,neutral,Cleanliness,Hostel A
R00688,lab instruments are available,positive,Laboratory,Campus
R01317,office staff are not responding in Hostel B,negative,Administration,Main Gate
R00701,practical sessions are useful in Canteen,positive,Laboratory,Library
R01369,security arrangements are reassuring asap in Hostel A,positive,Safety,C Block
R00502,there are not enough buses,negative,Transport,ECE Lab
R01513,the program was enjoyable asap in Library,positive,Events,Hostel A
R01533,the program was normal pls fix,neutral,Events,Hostel A
R00181,food is average today,neutral,Food,Canteen
R01250,the process was quick pls fix,positive,Administration,Hostel B
R00455,the shuttle usually arrives on time,neutral,Transport,Central Lab
R01551,the workshop was average,neutral,Events,Hostel B
R01042,classroom fan is not working,negative,Infrastructure,Hostel A
R00214,dinner was neither good nor bad pls fix,neutral,Food,Library
R01585,the program started very late in Hostel B,negative,Events,ECE Lab
R01173,dustbins are overflowing in ECE Lab,negative,Cleanliness,Campus
R01406,lighting is acceptable in Central Lab,neutral,Safety,Hostel B
R00805,practical equipment needs maintenance bro,negative,Laboratory,Hostel B
R01179,garbage is piling up in ECE Lab,negative,Cleanliness,B Block
R01292,the office response was average bro,neutral,Administration,Hostel B
R00908,many books are unavailable,negative,Library,Main Gate
R00807,lab computers are too slow in A Block,negative,Laboratory,Library
R00086,wifi is okay in my block asap in ECE Lab,neutral,Wi-Fi,Main Gate
R00938,library closes too early in Campus,negative,Library,Hostel A
R00674,the timetable has too many clashes bro in Hostel B,negative,Academics,Main Gate
R00979,campus facilities are well maintained in Hostel A,positive,Infrastructure,Campus
R00277,room maintenance is good,positive,Hostel,B Block
R00543,classes are useful in Campus,positive,Academics,Canteen
R00203,food is average today in A Block,neutral,Food,Central Lab
R00763,facilities are average in Library,neutral,Laboratory,C Block
R00456,bus service is manageable bro,neutral,Transport,A Block
R01500,the event arrangements were good in Campus,positive,Events,Main Gate
R00331,hostel experience is normal asap in Main Gate,neutral,Hostel,Hostel B
R01357,lighting around campus is good pls fix in Hostel B,positive,Safety,Central Lab
R00541,classes are useful in Hostel A,positive,Academics,Main Gate
R00105,internet gets stuck whenever I try to upload pls fix,negative,Wi-Fi,C Block
R00385,room maintenance is poor bro,negative,Hostel,Central Lab
R01169,cleanliness is acceptable pls fix,neutral,Cleanliness,ECE Lab
R00860,study space is average,neutral,Library,Hostel A
R01451,emergency facilities need improvement,negative,Safety,Hostel B
R00690,the lab is properly maintained asap,positive,Laboratory,Hostel A
R01166,cleaning is average in C Block,neutral,Cleanliness,A Block
R00861,librarys okay,neutral,Library,Campus
R00355,room facilities are average in ECE Lab,neutral,Hostel,Hostel A
R01089,washrooms are maintained well pls fix,positive,Cleanliness,Library
R00849,library is quiet and clean bro in A Block,positive,Library,C Block
R00926,library closes too early asap,negative,Library,B Block
R00155,menu has nice variety in Main Gate,positive,Food,C Block
R01521,the program was enjoyable bro in ECE Lab,positive,Events,Canteen
R01016,campus buildings are manageable in Main Gate,neutral,Infrastructure,Hostel A
R00730,some equipment is available,neutral,Laboratory,Hostel A
R01282,staff were neither helpful nor unhelpful in Hostel A,neutral,Administration,A Block
R00949,classrooms are comfortable in Campus,positive,Infrastructure,Canteen
R01396,lighting is acceptable,neutral,Safety,C Block
R01316,office staff are not responding in ECE Lab,negative,Administration,Canteen
R01176,washrooms are dirty,negative,Cleanliness,Canteen
R00318,room facilities are average asap,neutral,Hostel,Main Gate
R00265,mess food is too oily in ECE Lab,negative,Food,Hostel A
R00383,water supply keeps getting interrupted in ECE Lab,negative,Hostel,A Block
R00402,room maintenance is poor asap,negative,Hostel,Canteen
R00146,food is tasty today pls fix in Hostel B,positive,Food,Campus
R00187,the menu is manageable asap in Hostel B,neutral,Food,Library
R01405,security is okay asap,neutral,Safety,B Block
R01472,security response was slow pls fix,negative,Safety,A Block
R01037,there are damaged desks,negative,Infrastructure,B Block
R00497,bus is always overcrowded,negative,Transport,C Block
R00996,infrastructure is okay,neutral,Infrastructure,Canteen
R00191,mess food is okay bro,neutral,Food,C Block
R01132,cleanliness is acceptable in Main Gate,neutral,Cleanliness,Main Gate
R01554,the workshop was average asap in C Block,neutral,Events,Hostel A
R00301,water supply is good in C Block,positive,Hostel,Canteen
R01055,classroom fan is not working in Central Lab,negative,Infrastructure,Campus
R00160,the menu has nice variety asap,positive,Food,A Block
R00312,water supply is good bro in A Block,positive,Hostel,ECE Lab
R00638,classes are frequently cancelled,negative,Academics,Canteen
R01593,event arrangements were poor in Campus,negative,Events,C Block
R01271,the office response was average in Central Lab,neutral,Administration,C Block
R01288,request processings normal,neutral,Administration,Canteen
R00719,practical sessions are useful in B Block,positive,Laboratory,Canteen
R00150,menu has nice variety,positive,Food,ECE Lab
R00372,the hostel is too noisy at night,negative,Hostel,Canteen
R01164,campus is reasonably clean in ECE Lab,neutral,Cleanliness,Hostel A
R01334,there is too much paperwork,negative,Administration,Hostel A
R00709,lab equipment is working well bro,positive,Laboratory,Hostel A
R00820,there are enough study spaces asap in Library,positive,Library,A Block
R00147,food is tasty today in Library,positive,Food,Campus
R00273,hostel facilities are comfortable in C Block,positive,Hostel,B Block
R00529,the evening shuttle is packed pls fix,negative,Transport,A Block
R00006,network works smoothly in my block,positive,Wi-Fi,C Block
R00777,lab computers are very slow in ECE Lab,negative,Laboratory,A Block
R01359,security staff are helpful in A Block,positive,Safety,Canteen
R00078,wifi works most of the time in B Block,neutral,Wi-Fi,C Block
R00577,the course material is helpful bro in B Block,positive,Academics,Campus
R01488,the workshop was interesting pls fix in Hostel B,positive,Events,Central Lab
R01483,security response was slow asap in Canteen,negative,Safety,A Block
R00135,wifi signal is weak in my block asap in Hostel B,negative,Wi-Fi,Library
R00276,the room maintenance is good in B Block,positive,Hostel,ECE Lab
R00749,facilities are average in Hostel B,neutral,Laboratory,Hostel B
R00234,dinner tastes bad lately bro,negative,Food,Library
R01352,security staff are helpful pls fix,positive,Safety,ECE Lab
R00711,lab instruments are available in Campus,positive,Laboratory,C Block
R00779,practical equipment needs maintenance asap in Canteen,negative,Laboratory,Hostel A
R00762,some equipment is available bro,neutral,Laboratory,Central Lab
R00531,bus breaks down too often,negative,Transport,Campus
R00452,bus service is manageable,neutral,Transport,Central Lab
R00024,good internet connection in the library,positive,Wi-Fi,B Block
R00041,wifi is stable today pls fix in Main Gate,positive,Wi-Fi,A Block
R00656,the timetable has very many clashes in Library,negative,Academics,B Block
R00054,WiFi is okay in my block,neutral,Wi-Fi,Hostel A
R00882,study space is average pls fix,neutral,Library,Main Gate
R00013,wifis stable today in Campus,positive,Wi-Fi,Main Gate
R00910,it is too noisy in the library in ECE Lab,negative,Library,Canteen
R00993,infrastructure is okay pls fix,neutral,Infrastructure,Library
R01107,cleaning staff are doing a good job bro,positive,Cleanliness,Central Lab
R01466,security response was slow in A Block,negative,Safety,Canteen
R01306,administrative process is too slow bro in ECE Lab,negative,Administration,ECE Lab
R00241,there is hardly any variety pls fix,negative,Food,Main Gate
R00990,campus infrastructure is improving in Library,positive,Infrastructure,Campus
R00441,the shuttle service works well pls fix in Main Gate,positive,Transport,A Block
R01354,campus feels safe,positive,Safety,A Block
R01063,there are damaged desks pls fix,negative,Infrastructure,B Block
R01072,there are damaged desks bro,negative,Infrastructure,Canteen
R01090,campus is clean bro in Central Lab,positive,Cleanliness,B Block
R00669,the lecture paces too fast,negative,Academics,Hostel B
R00723,facilities are average pls fix in Library,neutral,Laboratory,Main Gate
R00307,the room maintenance is good asap,positive,Hostel,Hostel A
R00552,faculty support is good pls fix,positive,Academics,Library
R00141,food is tasty today in ECE Lab,positive,Food,Campus
R01296,the office response was average in Library,neutral,Administration,Main Gate
R00971,campus facilities are well maintained in Hostel B,positive,Infrastructure,Central Lab
R00998,infrastructure is okay bro,neutral,Infrastructure,Hostel B
R00240,too much salt in the food,negative,Food,ECE Lab
R01340,the approval process takes forever in Canteen,negative,Administration,Campus
R01504,the program was enjoyable in Canteen,positive,Events,ECE Lab
R00374,room maintenance is poor pls fix,negative,Hostel,C Block
R01366,security arrangements are reassuring in Hostel A,positive,Safety,Campus
R01384,campus feels safe in C Block,positive,Safety,Canteen
R01614,workshop was badly organized,negative,Events,Central Lab
R00356,maintenance is manageable asap,neutral,Hostel,Hostel B
R00646,classes are frequently cancelled in ECE Lab,negative,Academics,Canteen
R00806,there are not enough instruments in Canteen,negative,Laboratory,Central Lab
R01262,administrative process was okay,neutral,Administration,Main Gate
R00624,the class was okay in Main Gate,neutral,Academics,ECE Lab
R00410,buses are comfortable,positive,Transport,Central Lab
R00193,foods average today,neutral,Food,ECE Lab
R01115,corridors are clean in Library,positive,Cleanliness,Hostel A
R00814,there are enough study spaces asap in ECE Lab,positive,Library,ECE Lab
R01280,administrative process was okay in ECE Lab,neutral,Administration,C Block
R00048,wifi works most of the time,neutral,Wi-Fi,A Block
R01226,staff responded clearly pls fix,positive,Administration,Main Gate
R01494,the workshop was interesting bro in B Block,positive,Events,C Block
R00439,the shuttle service works well asap,positive,Transport,ECE Lab
R01411,lighting is acceptable asap,neutral,Safety,ECE Lab
R00328,maintenance is manageable,neutral,Hostel,ECE Lab
R01573,the program was normal bro in Library,neutral,Events,Library
R00122,internet is painfully slow bro in Central Lab,negative,Wi-Fi,B Block
R01144,cleaning is average asap,neutral,Cleanliness,Central Lab
R01081,washrooms are maintained well asap,positive,Cleanliness,Hostel A
R00262,the food quality has become poor asap,negative,Food,Central Lab
R01363,security arrangements are reassuring in ECE Lab,positive,Safety,Campus
R00736,the lab session was normal in Hostel A,neutral,Laboratory,Central Lab
R00835,library resources are useful in Hostel B,positive,Library,Hostel B
R01565,the workshop was average in Hostel B,neutral,Events,Hostel A
R00001,wifi is stable today,positive,Wi-Fi,Hostel A
R01138,cleanliness is acceptable asap,neutral,Cleanliness,A Block
R01126,washrooms are okay,neutral,Cleanliness,Main Gate
R01492,the workshop was interesting pls fix in Central Lab,positive,Events,B Block
R00278,the room maintenance is good in Canteen,positive,Hostel,A Block
R00797,practical equipment needs maintenance in ECE Lab,negative,Laboratory,Canteen
R00634,faculty is not explaining the topic clearly bro,negative,Academics,B Block
R00768,lab equipment is not working,negative,Laboratory,A Block
R00271,hostel facilities are comfortable pls fix in C Block,positive,Hostel,Canteen
R00594,course content is normal in Main Gate,neutral,Academics,Central Lab
R00635,course material is outdated,negative,Academics,Central Lab
R00683,lab equipment is working well pls fix,positive,Laboratory,C Block
R00980,building is in good condition,positive,Infrastructure,Hostel A
R00109,wifi keeps disconnecting in ECE Lab,negative,Wi-Fi,Canteen
R00081,network speed is normal today pls fix,neutral,Wi-Fi,Campus
R01050,classroom fan is not working bro,negative,Infrastructure,Hostel A
R01228,office staff were helpful bro in Canteen,positive,Administration,Library
R00002,campus net is fast,positive,Wi-Fi,Campus
R00313,the room maintenance is good in Central Lab,positive,Hostel,Hostel A
R00249,there is hardly any variety asap,negative,Food,Hostel B
R00658,the timetable has too many clashes bro in B Block,negative,Academics,ECE Lab
R01216,staff responded clearly,positive,Administration,Canteen
R01039,campus facilities are poorly maintained,negative,Infrastructure,Main Gate
R00399,hostel rooms have leaking taps in Hostel A,negative,Hostel,Campus
R00544,the lecturer explains concepts clearly in Canteen,positive,Academics,Campus
R00514,evening shuttle is packed,negative,Transport,Central Lab
R01382,lighting around campuss good in B Block,positive,Safety,Campus
R00729,some equipment is available asap,neutral,Laboratory,ECE Lab
R01561,the workshop was average asap in B Block,neutral,Events,ECE Lab
R00302,the room maintenance is good in Campus,positive,Hostel,A Block
R01298,staff were neither helpful nor unhelpful in Campus,neutral,Administration,C Block
R00933,reading room is overcrowded in B Block,negative,Library,Canteen
R00879,books are available asap,neutral,Library,A Block
R01327,the approval process takes forever pls fix,negative,Administration,Hostel A
R01006,campus buildings are manageable pls fix,neutral,Infrastructure,Main Gate
R01367,campus feels safe asap,positive,Safety,B Block
R01446,there are not enough security staff bro in B Block,negative,Safety,Hostel B
R00891,books are available bro,neutral,Library,Canteen
R01087,campus is clean in Central Lab,positive,Cleanliness,Canteen
R00065,network speeds normal today in Campus,neutral,Wi-Fi,Hostel B
R00168,mess food quality has improved in A Block,positive,Food,Central Lab
R00373,water supply keeps getting interrupted in A Block,negative,Hostel,Canteen
R00274,hostel room is clean in Hostel A,positive,Hostel,Canteen
R00672,timetable has too many clashes,negative,Academics,Central Lab
R01612,event arrangements were poor pls fix,negative,Events,Hostel A
R01360,campus feels safe pls fix,positive,Safety,Central Lab
R01398,security is okay,neutral,Safety,ECE Lab
R01134,washrooms are okay asap,neutral,Cleanliness,Main Gate
R00639,lecture pace is too fast,negative,Academics,ECE Lab
R00510,bus is always overcrowded asap in Library,negative,Transport,ECE Lab
R01233,process was quick,positive,Administration,Hostel A
R00522,there are not enough buses asap,negative,Transport,Central Lab
R01345,office staff are not responding in B Block,negative,Administration,ECE Lab
R01247,office staff were helpful pls fix,positive,Administration,C Block
R00099,network is terrible after evening,negative,Wi-Fi,Hostel B
R01058,campus facilities are poorly maintained in Campus,negative,Infrastructure,C Block
R00988,the building is in good condition in B Block,positive,Infrastructure,C Block
R00139,food is tasty today in B Block,positive,Food,Campus
R00416,the shuttle service works well,positive,Transport,B Block
R00874,books are available asap in C Block,neutral,Library,B Block
R00184,foods average today in Hostel A,neutral,Food,Campus
R00085,internet is available but average bro in B Block,neutral,Wi-Fi,Library
R00172,the menu has nice variety asap in A Block,positive,Food,Hostel B
R00046,wifi works most of the time pls fix,neutral,Wi-Fi,Library
R01123,washrooms are maintained well bro,positive,Cleanliness,Campus
R00816,library is quiet and clean,positive,Library,Campus
R00602,teaching is average asap in Hostel B,neutral,Academics,A Block
R00954,classrooms are comfortable pls fix in Hostel B,positive,Infrastructure,Campus
R00898,library is okay bro in B Block,neutral,Library,ECE Lab
R01297,staff were neither helpful nor unhelpful in Canteen,neutral,Administration,Hostel A
R00327,hostel experience is normal,neutral,Hostel,Campus
R00445,shuttle service works well in A Block,positive,Transport,Canteen
R01161,campus is reasonably clean in A Block,neutral,Cleanliness,Central Lab
R00896,library is okay bro,neutral,Library,B Block
R01361,lighting around campus is good bro in Hostel B,positive,Safety,Canteen
R01135,cleanings average in A Block,neutral,Cleanliness,C Block
R00609,the class was okay pls fix,neutral,Academics,Central Lab
R00679,the lab is properly maintained bro in Hostel B,positive,Laboratory,B Block
R00056,wifi works most of the time in A Block,neutral,Wi-Fi,Library
R00149,foods tasty today,positive,Food,B Block
R00743,some equipment is available in ECE Lab,neutral,Laboratory,Main Gate
R01221,administration resolved my request pls fix in Main Gate,positive,Administration,A Block
R01487,the event arrangements were good,positive,Events,ECE Lab
R00438,buses are comfortable in C Block,positive,Transport,ECE Lab
R00326,hostel experience is normal asap,neutral,Hostel,Canteen
R00137,the menu has nice variety bro,positive,Food,Library
R01332,administrative process is too slow bro in Central Lab,negative,Administration,Main Gate
R01400,lightings acceptable,neutral,Safety,ECE Lab
R00238,there is hardly any variety bro in Campus,negative,Food,Library
R00499,the bus breaks down too often,negative,Transport,Hostel B
